"Row_id","RestaurantName","ReviewCount","ServiceCategories","Address","AverageReviewStars"
1,"Tasty Burger"," 999 reviews "," Burgers, Hot Dogs, Fast Food "," 1301 Boylston St ","4.0 star rating"
2,"Wahlburgers"," 548 reviews "," American (Traditional), Burgers "," 132 Brookline Ave ","3.5 star rating"
3,"Shake Shack"," 316 reviews "," Burgers, Fast Food, Hot Dogs "," 234 Newbury St ","3.5 star rating"
4,"UBurger"," 154 reviews "," Burgers "," 1022 Commonwealth Ave ","4.0 star rating"
5,"The Gallows"," 790 reviews "," Burgers, Bars, American (Traditional) "," 1395 Washington St ","4.0 star rating"
6,"MOOYAH Burgers, Fries & Shakes"," 39 reviews "," Burgers, American (Traditional), Ice Cream & Frozen Yogurt "," 140 Tremont St ","4.0 star rating"
7,"Coda"," 557 reviews "," American (New), Burgers, Cocktail Bars "," 329 Columbus Ave ","4.0 star rating"
8,"5 Napkin Burger"," 654 reviews "," Burgers "," 105 Huntington Ave ","3.0 star rating"
9,"Jm Curley"," 728 reviews "," American (New), Lounges "," 21 Temple Pl ","4.0 star rating"
10,"The Avenue"," 333 reviews "," American (Traditional), Beer Bar, Tapas/Small Plates "," 1249 Commonwealth Ave ","4.0 star rating"
11,"Bukowski Tavern"," 652 reviews "," American (Traditional), Dive Bars "," 50 Dalton St ","3.5 star rating"
12,"Tasty Burger"," 162 reviews "," Burgers, Hot Dogs, Bars "," 145 Dartmouth St ","3.0 star rating"
13,"Joe’s American Bar & Grill"," 800 reviews "," American (Traditional), Burgers, Cocktail Bars "," 181 Newbury St ","3.5 star rating"
14,"B. Good"," 111 reviews "," Burgers, American (Traditional), Sandwiches "," 665 Boylston St ","3.5 star rating"
15,"Porters Bar & Grill"," 201 reviews "," American (Traditional), Pubs, Burgers "," 173 Portland St ","4.0 star rating"
16,"B Good"," 303 reviews "," American (Traditional), Burgers, Salad "," 131 Dartmouth St ","3.5 star rating"
17,"The Pour House"," 1042 reviews "," Bars, American (Traditional), American (New) "," 907 Boylston St ","3.5 star rating"
18,"Corner Tavern"," 229 reviews "," Bars, American (New) "," 421 Marlborough St ","4.0 star rating"
19,"Earls Kitchen + Bar"," 371 reviews "," American (New), Cocktail Bars ","Prudential Center","4.0 star rating"
20,"Saltie Girl"," 581 reviews "," Seafood, Wine Bars, Cocktail Bars "," 281 Dartmouth St ","4.5 star rating"
21,"The Glenville Stops"," 250 reviews "," American (New), Gastropubs, Wine Bars "," 87 Glenville Ave ","4.5 star rating"
