"Row_ID","RestaurantName","ReviewCount","ServiceCategories","Address","AverageReviewStars"
1,"Tasty Burger"," 997 reviews "," Burgers, Hot Dogs, Fast Food "," 1301 Boylston St ","4.0 star rating"
2,"Wahlburgers"," 546 reviews "," American (Traditional), Burgers "," Fenway ","3.5 star rating"
3,"Shake Shack"," 314 reviews "," Burgers, Fast Food, Hot Dogs "," 132 Brookline Ave ","3.5 star rating"
4,"UBurger"," 154 reviews "," Burgers "," Fenway ","4.0 star rating"
5,"The Gallows"," 789 reviews "," Burgers, Bars, American (Traditional) "," 234 Newbury St ","4.0 star rating"
6,"MOOYAH Burgers, Fries & Shakes"," 36 reviews "," Burgers, American (Traditional), Ice Cream & Frozen Yogurt "," Back Bay ","4.0 star rating"
7,"Coda"," 557 reviews "," American (New), Burgers, Cocktail Bars "," 1022 Commonwealth Ave ","4.0 star rating"
8,"5 Napkin Burger"," 654 reviews "," Burgers "," Allston/Brighton ","3.0 star rating"
9,"Jm Curley"," 727 reviews "," American (New), Lounges "," 1395 Washington St ","4.0 star rating"
10,"The Avenue"," 333 reviews "," American (Traditional), Beer Bar, Tapas/Small Plates "," South End ","4.0 star rating"
11,"Bukowski Tavern"," 652 reviews "," American (Traditional), Dive Bars "," 140 Tremont St ","3.5 star rating"
12,"Tasty Burger"," 161 reviews "," Burgers, Hot Dogs, Bars "," Downtown ","3.0 star rating"
13,"Joe’s American Bar & Grill"," 796 reviews "," American (Traditional), Burgers, Cocktail Bars "," 329 Columbus Ave ","3.5 star rating"
14,"B. Good"," 110 reviews "," Burgers, American (Traditional), Sandwiches "," Back Bay ","3.5 star rating"
15,"Porters Bar & Grill"," 200 reviews "," American (Traditional), Pubs, Burgers "," 105 Huntington Ave ","4.0 star rating"
16,"B Good"," 303 reviews "," American (Traditional), Burgers, Salad "," Back Bay ","3.5 star rating"
17,"The Pour House"," 1042 reviews "," Bars, American (Traditional), American (New) "," 21 Temple Pl ","3.5 star rating"
18,"Corner Tavern"," 229 reviews "," Bars, American (New) "," Downtown ","4.0 star rating"
19,"Earls Kitchen + Bar"," 367 reviews "," American (New), Cocktail Bars "," 1249 Commonwealth Ave ","4.0 star rating"
20,"Saltie Girl"," 577 reviews "," Seafood, Wine Bars, Cocktail Bars "," Allston/Brighton ","4.5 star rating"
21,"The Glenville Stops"," 250 reviews "," American (New), Gastropubs, Wine Bars "," 50 Dalton St ","4.5 star rating"
22,"Five Guys"," 94 reviews "," Burgers, Fast Food "," Back Bay ","3.5 star rating"
23,"Boston Beer Works"," 679 reviews "," Breweries, American (Traditional), Beer Bar "," 145 Dartmouth St ","3.5 star rating"
24,"The Paramount"," 1414 reviews "," Breakfast & Brunch, American (New), Sandwiches "," Back Bay ","4.0 star rating"
25,"The Tip Tap Room"," 611 reviews "," American (New), Bars "," 181 Newbury St ","4.0 star rating"
26,"Parish Cafe and Bar"," 1324 reviews "," Sandwiches, American (Traditional), Cocktail Bars "," Back Bay ","4.0 star rating"
27,"B. Good"," 213 reviews "," American (Traditional), Burgers, Sandwiches "," 665 Boylston St ","3.0 star rating"
28,"Five Guys"," 27 reviews "," Burgers, Fast Food "," Back Bay ","3.0 star rating"
29,"Citizen Public House & Oyster Bar"," 568 reviews "," Gastropubs "," 173 Portland St ","3.5 star rating"
30,"Roxy’s Gourmet Grilled Cheese"," 155 reviews "," Sandwiches "," West End ","4.0 star rating"
31,"Tasty Burger"," 997 reviews "," Burgers, Hot Dogs, Fast Food "," 131 Dartmouth St ","4.0 star rating"
32,"Wahlburgers"," 546 reviews "," American (Traditional), Burgers "," Back Bay ","3.5 star rating"
33,"Shake Shack"," 314 reviews "," Burgers, Fast Food, Hot Dogs "," 907 Boylston St ","3.5 star rating"
34,"UBurger"," 154 reviews "," Burgers "," Back Bay ","4.0 star rating"
35,"The Gallows"," 789 reviews "," Burgers, Bars, American (Traditional) "," 421 Marlborough St ","4.0 star rating"
36,"MOOYAH Burgers, Fries & Shakes"," 36 reviews "," Burgers, American (Traditional), Ice Cream & Frozen Yogurt "," Back Bay ","4.0 star rating"
37,"Coda"," 557 reviews "," American (New), Burgers, Cocktail Bars "," Located in Prudential Center ","4.0 star rating"
38,"5 Napkin Burger"," 654 reviews "," Burgers "," Back Bay ","3.0 star rating"
